scenario,controller,seed,distance_rmse_m,distance_mae_m,max_abs_error_m,bearing_rmse_rad,minimum_distance_m,within_025m_fraction,close_duration_s,stale_duration_s,command_acceleration_rms,command_angular_acceleration_rms,command_effort_proxy
target_loss,legacy_neuro_fuzzy,3,0.2492670308580196,0.21173149323334345,0.6506440214883393,0.11109793159909052,1.4649548250908655,0.6306666666666667,0.0,3.456,0.37052613244988447,0.42023471995559747,6.910039626808519
target_loss,legacy_neuro_fuzzy,4,0.2492670308580196,0.21173149323334345,0.6506440214883393,0.11109793159909052,1.4649548250908655,0.6306666666666667,0.0,3.456,0.37052613244988447,0.42023471995559747,6.910039626808519
target_loss,pid,0,0.11667880657166162,0.0731049167608771,0.4978848528620994,0.05784050522492067,1.3713577150162226,0.9406666666666667,0.0,3.456,0.39987814976757,0.32671986192522906,7.868311010174308
target_loss,pid,1,0.11667880657166162,0.0731049167608771,0.4978848528620994,0.05784050522492067,1.3713577150162226,0.9406666666666667,0.0,3.456,0.39987814976757,0.32671986192522906,7.868311010174308
target_loss,pid,2,0.11667880657166162,0.0731049167608771,0.4978848528620994,0.05784050522492067,1.3713577150162226,0.9406666666666667,0.0,3.456,0.39987814976757,0.32671986192522906,7.868311010174308
target_loss,pid,3,0.11667880657166162,0.0731049167608771,0.4978848528620994,0.05784050522492067,1.3713577150162226,0.9406666666666667,0.0,3.456,0.39987814976757,0.32671986192522906,7.868311010174308
target_loss,pid,4,0.11667880657166162,0.0731049167608771,0.4978848528620994,0.05784050522492067,1.3713577150162226,0.9406666666666667,0.0,3.456,0.39987814976757,0.32671986192522906,7.868311010174308
target_loss,fuzzy,0,0.12032541169021585,0.07828814021614769,0.48993219877330074,0.0705776353924748,1.400878294737916,0.9373333333333334,0.0,3.456,0.39321348204537476,0.2585993281547806,7.694747839280926
target_loss,fuzzy,1,0.12032541169021585,0.07828814021614769,0.48993219877330074,0.0705776353924748,1.400878294737916,0.9373333333333334,0.0,3.456,0.39321348204537476,0.2585993281547806,7.694747839280926
target_loss,fuzzy,2,0.12032541169021585,0.07828814021614769,0.48993219877330074,0.0705776353924748,1.400878294737916,0.9373333333333334,0.0,3.456,0.39321348204537476,0.2585993281547806,7.694747839280926
target_loss,fuzzy,3,0.12032541169021585,0.07828814021614769,0.48993219877330074,0.0705776353924748,1.400878294737916,0.9373333333333334,0.0,3.456,0.39321348204537476,0.2585993281547806,7.694747839280926
target_loss,fuzzy,4,0.12032541169021585,0.07828814021614769,0.48993219877330074,0.0705776353924748,1.400878294737916,0.9373333333333334,0.0,3.456,0.39321348204537476,0.2585993281547806,7.694747839280926
